linea,hora_inicio,hora_fin,conductores,vehiculos,precio,descuento
L54,07:30,23:00,"['Jesusa Aragón Pedrosa', 'Armando Torrens Leiva', 'Bernarda Francisco Palomino', 'Bruno Company Marin', 'Irma Barceló Cañellas', 'Venceslás Redondo Revilla', 'Plinio Garmendia Marin']","['Bus_23', 'Bus_32', 'Bus_35', 'Tranvia_52', 'Bus_81', 'Bus_50', 'Bus_59']",2.61,0.2
L55,05:15,23:00,"['Verónica Juanita Sáenz Camps', 'Ernesto Rosales Busquets', 'Candelario Amor Urrutia', 'Onofre Fabio Ballesteros Gómez', 'Isidoro Alegria Prado', 'Simón Cerro Nadal', 'Lázaro Cal Macías']","['Bus_5', 'Tranvia_15', 'Tranvia_42', 'Tranvia_29', 'Tranvia_96', 'Tranvia_38', 'Bus_100']",1.25,0.15
L56,06:00,20:15,"['Juanito Villalba Garay', 'Wilfredo Benjamín Dalmau Valero', 'Jenaro Verdejo', 'Lino Pablo Ruiz', 'Teófilo Angulo-Larrañaga', 'Clotilde Escribano', 'Maximiano Cuervo', 'Pili Valenciano Otero', 'Toni Toni Leon Carmona']","['Tranvia_42', 'Tranvia_22', 'Tranvia_79', 'Tranvia_38', 'Tranvia_49', 'Bus_32', 'Bus_19', 'Bus_90', 'Bus_86']",1.23,0.43
L57,06:15,23:00,"['Araceli Donaire Aller', 'Elías Morcillo Manuel', 'Violeta Amo-Alberola', 'Alfonso Tamayo Lasa', 'Catalina Visitación Nicolás Sacristán', 'Brunilda Azucena Lasa González', 'Evaristo Antón Quintanilla']","['Bus_67', 'Bus_81', 'Bus_16', 'Bus_45', 'Bus_18', 'Tranvia_15', 'Bus_33']",1.2,0.23
L58,06:30,23:45,"['Julio César de Moliner', 'Leocadia Lorenza Santiago Salmerón', 'Loida Cuervo Tello', 'Rosario Cal Agullo', 'Xiomara Lerma-Atienza', 'Humberto Casanova-Vargas', 'Ulises Ferrándiz', 'Mercedes Paula Guijarro Goicoechea', 'Marcos Aguilera']","['Bus_60', 'Tranvia_85', 'Bus_48', 'Tranvia_11', 'Tranvia_51', 'Bus_52', 'Bus_88', 'Bus_74', 'Bus_6']",2.32,0.17
L59,05:30,23:45,"['Irene Heras Garay', 'Mohamed Morales Padilla', 'Adelia Maestre Molina', 'Ezequiel Bosch-Cabezas', 'Antonia Ferrando Escribano', 'Josefina del Figueras']","['Bus_38', 'Bus_36', 'Bus_41', 'Tranvia_60', 'Bus_12', 'Tranvia_69']",1.32,0.5
L60,06:15,23:15,"['Genoveva Mas-Gascón', 'Leonardo Belmonte', 'Sonia Garay Pons', 'Amalia Macías Tomé', 'Luna del Iniesta', 'Augusto Iker Lozano Pintor']","['Bus_7', 'Bus_12', 'Bus_95', 'Bus_74', 'Bus_77', 'Bus_30']",1.9,0.35
L61,07:30,23:00,"['María Luisa Marquez-Jáuregui', 'Teodoro Baeza Miguel', 'Aránzazu Águila', 'Jenaro Paniagua Nuñez', 'Benito Carreras', 'Amelia Piquer', 'Eladio Segarra Vilaplana', 'Simón Vaquero Duarte']","['Bus_5', 'Bus_33', 'Tranvia_50', 'Bus_88', 'Tranvia_26', 'Bus_34', 'Bus_67', 'Bus_23']",1.19,0.36
L62,06:45,22:30,"['Paulino Casares Clemente', 'Albert Campoy', 'Celso Peñalver', 'Ignacia Sala Landa', 'Lalo Lumbreras Ángel', 'María Del Carmen Vigil Llorente', 'Amarilis Viñas Manrique', 'Josefina Arranz Bautista', 'Jose Luis Millán-Cazorla', 'Valeria Arjona', 'Emiliano Armengol Alcalde']","['Tranvia_98', 'Bus_15', 'Tranvia_40', 'Bus_45', 'Bus_28', 'Bus_26', 'Bus_84', 'Tranvia_14', 'Bus_33', 'Tranvia_78', 'Bus_98']",2.0,0.27
L63,05:15,23:45,"['Rodrigo Albero Enríquez', 'Purificación Caparrós Collado', 'Julián Guerra Diaz', 'Gema Cervantes-Águila', 'Josué Batalla Almazán', 'Reynaldo Bustos Ponce', 'Julia Gil Pintor', 'Xiomara Murillo Mir', 'Teodoro Montesinos Girón']","['Bus_23', 'Bus_59', 'Tranvia_56', 'Tranvia_13', 'Tranvia_25', 'Bus_57', 'Tranvia_60', 'Bus_86', 'Tranvia_72']",1.01,0.46
L64,06:15,20:30,"['María del Falcó', 'Poncio Valenzuela Garcés', 'Salomé Sebastián-Torrents', 'Asdrubal Heraclio Sanabria Alcalde', 'Lino Fabra Carro', 'Malena Sáez Borja', 'Heliodoro Rosado Seco', 'Pablo del Montes', 'Margarita Gual Berenguer', 'Aníbal Casal Linares']","['Tranvia_53', 'Bus_28', 'Tranvia_10', 'Tranvia_48', 'Bus_70', 'Bus_77', 'Bus_60', 'Bus_92', 'Tranvia_76', 'Bus_58']",1.3,0.15
L65,05:00,22:30,"['Amalia de Fuente', 'Silvio Federico Borrell Cantón', 'Simón Milla Losa', 'Donato Monreal Galiano', 'Alberto Giménez', 'Maricela Fuentes Porta', 'Pedro Cabeza Laguna', 'Gonzalo de Rius', 'Amílcar de Fortuny', 'Olivia Figueras-Orozco', 'Prudencio Bonilla Somoza']","['Bus_60', 'Bus_16', 'Bus_69', 'Bus_41', 'Tranvia_77', 'Tranvia_55', 'Tranvia_29', 'Bus_67', 'Bus_39', 'Tranvia_41', 'Bus_46']",2.66,0.12
L66,06:15,23:15,"['Fabricio Villa', 'Ainara Calvo Barros', 'Mirta Olga Cepeda Pareja', 'Cándido Noguera-Fiol', 'Carmen Edelmira Bustos Terrón', 'Lucía Valera', 'Edu Baeza Leiva', 'Delfina Tovar-Becerra', 'Aránzazu Díez Bilbao', 'Raúl Pozuelo Cózar']","['Bus_25', 'Bus_44', 'Bus_86', 'Bus_100', 'Bus_10', 'Bus_59', 'Bus_71', 'Bus_34', 'Bus_98', 'Tranvia_2']",1.67,0.26
L67,06:00,20:15,"['Teresa Feliciana Lago Vidal', 'Chucho Baños', 'Xiomara Puerta-Gordillo', 'Ainoa Piñeiro-Guerrero', 'Rodrigo Jimenez Diaz', 'Bernarda Flor Quevedo', 'Gloria Juanita Aramburu Giménez', 'Marisela Valera Torrijos']","['Bus_87', 'Bus_17', 'Bus_78', 'Bus_28', 'Bus_93', 'Tranvia_65', 'Bus_86', 'Bus_40']",1.95,0.14
L68,07:30,21:45,"['Marianela Eva Baró Carmona', 'Jose Angel Meléndez', 'Herminio Beltrán Quintero', 'Marcio de Esteban', 'Benigno Cervantes Giralt', 'Curro de Morillo', 'Félix Cuenca-Royo', 'Eutropio Céspedes Vara', 'Rosalva Ureña Artigas', 'Victorino Cabeza', 'Malena Gomila Crespi']","['Bus_96', 'Bus_64', 'Bus_93', 'Bus_28', 'Bus_57', 'Bus_36', 'Bus_66', 'Bus_32', 'Tranvia_82', 'Bus_40', 'Tranvia_32']",1.14,0.43
L69,06:15,23:45,"['María del Saavedra', 'Teobaldo Álamo', 'Benita Estefanía Gracia Palomino', 'Valerio Sotelo Ferrando', 'Xavier Arcos Benet', 'Victor Bertrán Alsina', 'Ciríaco Llanos Piñeiro', 'Germán Manzanares Suarez', 'Luis Miguel Ferrando Moll', 'Asunción Pallarès Cabrero', 'Luis Ángel Solé Tamarit', 'Rosendo Salas-Becerra', 'Aitor Vallés Ayala', 'Teresita Vendrell-Coll', 'Carolina Gómez Barrios', 'Josefina del Alsina', 'Teodoro Montesinos Frías']","['Tranvia_77', 'Bus_8', 'Bus_6', 'Bus_22', 'Bus_52', 'Tranvia_36', 'Bus_18', 'Tranvia_38', 'Bus_85', 'Bus_71', 'Tranvia_52', 'Tranvia_47', 'Tranvia_27', 'Bus_82', 'Bus_98', 'Bus_100', 'Tranvia_94']",1.23,0.34
L70,05:45,23:30,"['Gisela Carmona Herranz', 'Augusto Ojeda Calzada', 'Curro Arnau Carranza', 'Isaac Correa Sastre', 'Melania Cuadrado Barreda', 'Ignacio del Cuevas', 'Pancho Arnal Cañellas', 'Felisa de Checa', 'Martina de Giménez', 'Florencio Blázquez Aguilera', 'Julián Che Atienza Marco', 'Camilo Telmo Prats Cases', 'Eusebia Vidal Romeu']","['Bus_53', 'Bus_50', 'Bus_75', 'Bus_84', 'Tranvia_49', 'Bus_52', 'Bus_44', 'Bus_78', 'Bus_77', 'Bus_100', 'Tranvia_89', 'Bus_35', 'Bus_19']",1.73,0.24
L71,05:00,21:15,"['José Mari Sosa Solsona', 'Dorita Lloret Tello', 'Griselda de Gonzalez', 'Lucía Valls Cózar', 'Encarna Malo', 'Claudia Delgado Hoyos', 'Lalo Llopis Godoy', 'Leoncio Villalonga Peinado', 'Isidoro Riba Roda', 'Loreto Benjamín Domínguez Español', 'León Sanabria']","['Bus_69', 'Bus_65', 'Bus_22', 'Tranvia_57', 'Tranvia_74', 'Tranvia_42', 'Bus_46', 'Bus_26', 'Bus_26', 'Bus_33', 'Bus_43']",2.72,0.38
L72,07:45,22:30,"['Yaiza del Sosa', 'Wilfredo Vera-Caro', 'Balduino del Luque', 'Luis Miguel Parra-Palau', 'Sarita Garrido Garcia', 'María Pilar Borrego Pablo', 'Bernarda Moreno-Tello', 'Encarnacion Goñi Casas', 'Mario Lobato Ponce']","['Bus_34', 'Tranvia_98', 'Bus_51', 'Tranvia_77', 'Tranvia_39', 'Bus_80', 'Tranvia_25', 'Tranvia_11', 'Bus_71']",1.63,0.29
L73,07:45,20:30,"['Aitana Lilia Quevedo Rivas', 'Jonatan Timoteo Barceló Mir', 'Elpidio Trinidad Moreno Llorens', 'Lucio Armas Vendrell', 'Caridad Guillen Arenas', 'Jenny Valencia Salinas', 'Abilio del Correa']","['Bus_53', 'Bus_65', 'Tranvia_86', 'Bus_8', 'Bus_30', 'Tranvia_98', 'Bus_4']",2.86,0.25
L74,06:15,23:45,"['Albert Agudo Alegria', 'Fausto Manuel Escrivá', 'Eufemia Codina Avilés', 'Lourdes Olga Ruiz Barroso', 'Dalila Tena Paz', 'Milagros Tolosa Salcedo', 'Jose Ramón Cabello-Capdevila']","['Bus_25', 'Bus_47', 'Tranvia_44', 'Bus_70', 'Tranvia_23', 'Bus_86', 'Bus_68']",2.5,0.46
L75,06:45,22:45,"['Emperatriz Company', 'Reyes Salmerón Blasco', 'Chema Cervantes Garriga', 'Jose del Bernad', 'Cristian del Pomares', 'Dorotea Leyre Valderrama Echevarría', 'Mateo Américo Escamilla Cueto']","['Bus_8', 'Tranvia_28', 'Bus_88', 'Bus_53', 'Bus_53', 'Bus_76', 'Tranvia_19']",2.31,0.29
L76,05:00,21:45,"['Rufino Morante Luna', 'Brunilda Castilla Agudo', 'Camila Oliva Cadenas', 'José María Torrent', 'Felisa Roselló Azorin', 'Moreno Mora Nevado', 'Fermín Giménez', 'Marita Peinado Lucas', 'Alejandro Tejada Grande', 'Berto Chaves Moraleda']","['Tranvia_38', 'Bus_47', 'Tranvia_24', 'Bus_81', 'Bus_34', 'Bus_82', 'Tranvia_14', 'Tranvia_69', 'Bus_28', 'Bus_96']",1.28,0.49
L77,07:45,22:00,"['Julieta de Gallart', 'Ciríaco Ciríaco Ureña Zapata', 'Irene Olivares-Zurita', 'Maximiliano Ricart Blanch', 'Graciela Ballesteros Casas', 'Victor Gibert-Moliner', 'Victoriano Rodriguez-Lorenzo', 'Fidela Gascón Acero', 'Baudelio Sales Echeverría']","['Tranvia_95', 'Bus_41', 'Bus_18', 'Tranvia_72', 'Tranvia_17', 'Bus_25', 'Bus_3', 'Bus_100', 'Bus_68']",1.98,0.47
L78,05:30,22:15,"['Valero Tomé Pareja', 'Bernardo Enríquez Arregui', 'Ligia Acedo Taboada', 'Emigdio Vicens Colom', 'Amparo Quiroga Lucas', 'Amanda de Benavent', 'Curro Ugarte Heredia']","['Tranvia_45', 'Bus_8', 'Tranvia_88', 'Bus_73', 'Bus_94', 'Tranvia_96', 'Bus_37']",1.09,0.37
L79,07:15,23:30,"['Rosenda Palacios Barberá', 'Benigna Muro Santiago', 'Maricruz de Benitez', 'Isaura Vera Samper', 'Manuelita Vilaplana Bravo', 'Otilia Guzman Palomares', 'Felix Bernabé Tenorio Guitart', 'Andrea Amelia Muñoz Otero', 'María Pilar Guillén Fernandez']","['Tranvia_9', 'Tranvia_26', 'Bus_26', 'Bus_1', 'Bus_81', 'Bus_70', 'Bus_81', 'Bus_84', 'Bus_37']",2.62,0.12
L80,07:30,22:30,"['Martin Baños Corral', 'Fidel Puente Escobar', 'Vito Sans Muñoz', 'Germán Cobos', 'Edelmiro Jover Romeu', 'Bruno Ugarte Coronado', 'Matilde Peral Bauzà', 'Daniel Bayona', 'Lalo Tolosa Amador', 'Eugenia Naranjo']","['Tranvia_50', 'Bus_72', 'Tranvia_83', 'Bus_39', 'Bus_16', 'Tranvia_59', 'Bus_97', 'Bus_43', 'Bus_82', 'Bus_16']",1.26,0.49
L81,07:45,22:00,"['Angelina Gonzalo', 'Anastasio Vergara', 'Hortensia de Aller', 'Araceli Pizarro Barrera', 'Patricia Clavero Enríquez', 'Emma Puga Aragonés', 'América Loreto Palmer Villegas']","['Bus_70', 'Tranvia_47', 'Bus_33', 'Tranvia_77', 'Tranvia_3', 'Tranvia_18', 'Bus_47']",2.69,0.32
L82,05:00,21:15,"['Azahar Robledo Castañeda', 'Matías Ordóñez Rodriguez', 'Pedro Chamorro', 'Hortensia Gonzalo Gómez', 'Régulo Lastra Alcolea', 'Tiburcio Manso Casado', 'Bernarda Ferrán Mayo']","['Bus_35', 'Bus_24', 'Tranvia_25', 'Bus_50', 'Tranvia_1', 'Tranvia_20', 'Bus_7']",2.61,0.42
L83,06:00,23:30,"['Victoriano Benitez Carrera', 'Moisés Querol Escribano', 'Fito Castrillo Clemente', 'Feliciano Cornejo Tapia', 'María Ángeles Liliana Múñiz Espejo', 'Jose Ramón Tejero Manjón', 'Nicanor Tomás Mena', 'Isidro Vito España Quintanilla']","['Bus_59', 'Bus_48', 'Bus_15', 'Bus_84', 'Tranvia_74', 'Tranvia_22', 'Bus_60', 'Bus_29']",2.74,0.42
L84,07:15,23:00,"['Isa Huguet Heras', 'Concepción Talavera Rosales', 'Benita Crespi Vera', 'Ciríaco Rovira Navarro', 'Gil Pablo', 'Andrés Felipe Toro Bastida', 'Juan Dominguez Daza', 'Anastasia Cózar Solano', 'Jordán de Gonzalo', 'Alonso Canals Fernandez', 'Florentino Nogueira Menéndez', 'María Jesús Méndez-Hoz']","['Tranvia_96', 'Bus_84', 'Bus_70', 'Bus_48', 'Bus_33', 'Bus_40', 'Bus_33', 'Bus_60', 'Bus_78', 'Bus_96', 'Bus_9', 'Bus_48']",1.4,0.34
L85,05:30,20:15,"['Luis Rojas Andrade', 'Cebrián Campoy-Aznar', 'Melisa Poza', 'Teodoro Montserrat Pomares', 'Roxana Rosell Baró', 'Ariadna Aparicio-Santamaria', 'Carmen de Arranz', 'Édgar Echevarría Tovar', 'Marcelo Carrera-Montserrat', 'Marisela Cerdá Cózar', 'Ainara Ponce Talavera', 'Vinicio Arenas-Agullo', 'Victoria Niño Gil']","['Bus_80', 'Bus_92', 'Bus_50', 'Bus_35', 'Tranvia_60', 'Bus_86', 'Tranvia_59', 'Tranvia_1', 'Bus_47', 'Tranvia_37', 'Bus_37', 'Tranvia_3', 'Tranvia_81']",2.91,0.48
L86,07:30,21:45,"['Ana Valera', 'Albert Cadenas Aguirre', 'Elena Prats Pla', 'Dionisio Guzmán Llanos', 'Cosme del Comas', 'Iris Diéguez Armengol', 'Xiomara Peña Redondo', 'Judith Montalbán', 'Víctor Valcárcel Leon', 'Sebastian Alcalde Alcázar', 'Marita Seco Cordero', 'Liliana Amor-Montesinos', 'Pilar Alcázar Castillo', 'Marco Vicens Beltrán', 'Fermín del Cantero']","['Bus_47', 'Tranvia_28', 'Bus_40', 'Tranvia_21', 'Bus_65', 'Bus_6', 'Tranvia_91', 'Tranvia_68', 'Bus_3', 'Bus_89', 'Bus_40', 'Tranvia_26', 'Tranvia_12', 'Bus_81', 'Bus_3']",1.76,0.39
L87,07:00,22:15,"['Che Ramírez-Vizcaíno', 'María Del Carmen Guerra Cano', 'Montserrat Barba Miranda', 'Berto Humberto Pou Ríos', 'Ariel Alemán Pulido', 'Amado Villalonga Alcolea', 'Pepito Vélez López', 'Rosalva Donoso Cruz', 'Delfina Ayuso Marcos', 'Aureliano Boix Muñoz']","['Bus_1', 'Bus_50', 'Tranvia_74', 'Bus_28', 'Bus_96', 'Bus_100', 'Bus_17', 'Tranvia_84', 'Tranvia_90', 'Bus_64']",2.53,0.31
L88,07:00,22:00,"['Cruz Cañas-Noguera', 'José María Sarmiento Castillo', 'Luciana Conde', 'Victor Manuel Roig Uribe', 'Fausto Dalmau Baños', 'Luis Miguel Catalá Salgado', 'Wilfredo Yuste Ríos', 'Pánfilo Batlle Frías', 'César Ezequiel Verdugo Huguet', 'Francisca Ramírez Espejo', 'Teo Blanch Puente']","['Bus_91', 'Bus_73', 'Bus_39', 'Bus_25', 'Tranvia_56', 'Tranvia_3', 'Tranvia_100', 'Tranvia_30', 'Bus_48', 'Tranvia_42', 'Bus_74']",1.35,0.44
L89,05:45,21:00,"['Sergio Menéndez Ribas', 'Rebeca Beltrán Valencia', 'Silvio Alba-Lillo', 'Candelario de Amat', 'Carmela Batalla Olivares', 'Rosario Jimenez-Patiño', 'Francisco Javier Soler-Belda', 'Paola Arce Marí', 'Armida Gelabert-Serrano', 'Chelo Menéndez Nieto', 'Chus Sarmiento Zamorano', 'Dorotea Larrea Tovar']","['Tranvia_64', 'Bus_100', 'Bus_35', 'Tranvia_27', 'Bus_94', 'Tranvia_98', 'Bus_74', 'Bus_26', 'Tranvia_8', 'Tranvia_53', 'Bus_83', 'Tranvia_69']",1.38,0.18
L90,05:30,23:30,"['Paola Luna', 'Rebeca Estrada Garcia', 'Raúl Godoy Carballo', 'Fidel Amo Ferrández', 'Candelas Riba Sierra', 'Eligia Rios Pujadas', 'Nieves Valle León', 'Lucho Herranz Sancho', 'Noé Rodrigo Pineda Carreño', 'Emelina Madrid Rueda', 'Mireia Pomares', 'Merche Juliana Arnau Escudero']","['Bus_52', 'Bus_40', 'Bus_36', 'Tranvia_39', 'Bus_25', 'Bus_59', 'Bus_22', 'Tranvia_44', 'Tranvia_8', 'Bus_27', 'Bus_38', 'Tranvia_88']",2.82,0.36
L91,06:15,21:15,"['Dimas Lamas Córdoba', 'Albino Baró Salazar', 'León Méndez Sarabia', 'Feliciano Aureliano Cobo Zurita', 'Gracia Cid Miró', 'Santos Espinosa Pont', 'Rafael Arrieta Gascón', 'Sandra Palmer', 'María Carmen Ayuso Fonseca', 'Jose Angel Borrego']","['Bus_79', 'Tranvia_67', 'Tranvia_53', 'Tranvia_59', 'Bus_99', 'Tranvia_3', 'Bus_99', 'Bus_92', 'Bus_45', 'Bus_63']",2.34,0.34
L92,05:15,22:00,"['Néstor Bertrán-Barbero', 'Custodio Pedraza Francisco', 'Andrés Felipe Soria Diaz', 'Juan Carlos Díaz Bartolomé', 'Victoriano León Adán', 'Arturo Ropero', 'Griselda Domingo Colomer', 'Lorenza Cánovas-Armengol', 'Encarnita Sales Campos', 'Abigaíl Miralles Morillo', 'Otilia Mateu Jódar', 'Juan Pablo del Maza', 'Camilo Pascual Rivas']","['Tranvia_27', 'Tranvia_85', 'Bus_26', 'Bus_35', 'Tranvia_75', 'Bus_53', 'Bus_65', 'Bus_22', 'Bus_2', 'Tranvia_38', 'Bus_41', 'Bus_60', 'Bus_61']",2.81,0.31
L93,05:15,22:45,"['Toni Bernal-Guerrero', 'Encarnita Rey Valcárcel', 'Rita Barrios Acedo', 'Pepe Sanmiguel Burgos', 'Custodio Salcedo Gutierrez', 'Domingo de Pons', 'Encarnacion Quintana-Pérez', 'Amparo Valls Carballo', 'Porfirio Mosquera', 'Yaiza Cueto Goicoechea', 'Octavia Garrido Seco']","['Tranvia_70', 'Bus_21', 'Bus_60', 'Tranvia_92', 'Bus_78', 'Bus_92', 'Tranvia_34', 'Tranvia_5', 'Tranvia_10', 'Tranvia_83', 'Bus_22']",2.18,0.47
L94,07:30,23:15,"['Alfredo Linares Naranjo', 'Lope Cabello Arenas', 'Olimpia Simó Canet', 'Loreto Montserrat Vaquero', 'María Carmen Nogueira Llopis', 'Felipa del Silva', 'Jose Miguel Bonifacio Bravo Ferreras', 'Víctor Juan Antonio Fuster Agudo', 'Efraín Montoya Alberola', 'Roberta Zaragoza Pera', 'Natividad Olivera Cantero']","['Bus_86', 'Bus_30', 'Tranvia_56', 'Tranvia_55', 'Bus_48', 'Bus_74', 'Tranvia_29', 'Bus_55', 'Bus_98', 'Bus_60', 'Bus_54']",1.56,0.13
L95,07:15,23:15,"['Adelardo Sáez', 'Jorge Hernández-Borrego', 'Quique Llanos-Marqués', 'Manu del Chamorro', 'Victoriano Aguilera-Batlle', 'Tecla Arnaiz Sáenz', 'Macario Cirino Prieto Sabater', 'Remigio Trillo Marcos', 'Ovidio Nicolau', 'Rafa Cabezas Puga', 'Candela Méndez Dueñas', 'Amelia Molina']","['Tranvia_54', 'Bus_29', 'Bus_92', 'Bus_78', 'Bus_53', 'Bus_12', 'Tranvia_10', 'Tranvia_5', 'Tranvia_55', 'Tranvia_8', 'Tranvia_1', 'Bus_33']",2.75,0.48
L96,06:15,20:15,"['Benigna Asensio Alemán', 'Fernando Gutiérrez Ramirez', 'Ezequiel Enríquez Hernando', 'Lino Cabañas Plaza', 'Hector Bayón', 'Iris Villalba Machado']","['Tranvia_60', 'Bus_73', 'Bus_78', 'Bus_69', 'Bus_1', 'Tranvia_82']",2.05,0.46
L97,07:30,22:15,"['Carla Doménech Fajardo', 'Rufino Camino Robledo', 'Nicolasa Balaguer-Cánovas', 'Obdulia Donoso Carreño', 'Benito Casares Ochoa', 'Palmira Mendizábal Reyes', 'Nerea Morales Atienza', 'Teodoro del Rosales', 'Apolonia Irma Jordán Ballester', 'Narciso Rodrigo Bosch', 'Otilia Belmonte Viana', 'Leandro del Ferrando']","['Bus_58', 'Bus_75', 'Bus_87', 'Tranvia_1', 'Bus_59', 'Bus_16', 'Bus_35', 'Bus_88', 'Tranvia_98', 'Bus_75', 'Bus_18', 'Bus_44']",1.21,0.29
L98,07:00,20:45,"['Gregorio Rovira Vicens', 'Gabriela Arteaga Chaves', 'Leonel Casado Guzmán', 'Che Palmer Casanova', 'Trinidad Monreal Benavent', 'Filomena Menéndez Piña', 'Berta Téllez Sáez', 'Ascensión Lledó Ramírez', 'Sabas Soriano-Roldán', 'Jose Miguel Granados', 'Dafne Mayol Galán', 'Cruz Gallo Sanmiguel', 'Anna Palacios Porta', 'Pascual del Posada', 'Jovita Menéndez Cuéllar', 'Julie Pomares Exposito']","['Bus_99', 'Bus_94', 'Bus_15', 'Bus_78', 'Tranvia_18', 'Tranvia_89', 'Bus_83', 'Bus_19', 'Bus_72', 'Tranvia_37', 'Bus_73', 'Tranvia_88', 'Bus_39', 'Bus_35', 'Bus_92', 'Bus_89']",2.03,0.49
L99,05:30,23:45,"['Marino Salvador-Llamas', 'Cayetano Rómulo Diego Falcón', 'Adora Solís Piña', 'Florinda Coca Abril', 'Jenaro Mendez Arroyo']","['Bus_24', 'Bus_39', 'Bus_55', 'Bus_60', 'Tranvia_93']",2.67,0.49
L100,07:15,22:15,"['Adelia de Calderon', 'Francisca Guardiola Sureda', 'Remedios Santamaria Diez', 'Florentina Oliver-Ortuño', 'Ximena de Hierro', 'Genoveva Casado Bejarano', 'María Manuela Mendez Corominas', 'Martin Llano Blázquez', 'Mauricio Casado Codina']","['Tranvia_9', 'Bus_94', 'Tranvia_1', 'Tranvia_75', 'Bus_32', 'Tranvia_29', 'Bus_66', 'Bus_66', 'Bus_94']",1.48,0.4
